,pair,time,fetchRate,finalRate
0,AUDUSD.rp,2018-07-09,0.7477600000000001,0.7477600000000001
1,AUDUSD.rp,2018-07-10,0.74316,0.74316
2,AUDUSD.rp,2018-07-13,0.7381500000000001,0.7381500000000001
3,AUDUSD.rp,2018-07-11,0.73936,0.73936
4,EURUSD.rp,2018-07-10,1.17036,1.17036
5,EURUSD.rp,2018-07-09,1.17735,1.17735
6,EURUSD.rp,2018-07-13,1.1624100000000002,1.1624100000000002
7,EURUSD.rp,2018-07-11,1.1711900000000002,1.1711900000000002
8,EURUSD.rp,2018-07-12,1.1661,1.1661
9,GBPUSD.rp,2018-07-09,1.33343,1.33343
10,GBPUSD.rp,2018-07-10,1.32315,1.32315
11,GBPUSD.rp,2018-07-12,1.32018,1.32018
12,GBPUSD.rp,2018-07-13,1.31274,1.31274
13,GBPUSD.rp,2018-07-11,1.3245900000000002,1.3245900000000002
14,NZDUSD.rp,2018-07-10,0.68076,0.68076
15,NZDUSD.rp,2018-07-11,0.6793100000000001,0.6793100000000001
16,NZDUSD.rp,2018-07-12,0.67576,0.67576
17,NZDUSD.rp,2018-07-13,0.67332,0.67332
18,OILUSD.rp,2018-07-11,73.747,73.747
19,USTEC100.rp,2018-07-13,7371.71,7371.71
20,XAUUSD.rp,2018-07-09,1265.1,1265.1
21,XAUUSD.rp,2018-07-10,1250.0,1250.0
22,XAUUSD.rp,2018-07-11,1250.49,1250.49
23,XAUUSD.rp,2018-07-13,1240.86,1240.86
24,AUDUSD.rp,2018-07-12,0.7375600000000001,0.7375600000000001
25,NZDUSD.rp,2018-07-09,0.6848700000000001,0.6848700000000001
26,USTEC100.rp,2018-07-12,7274.4000000000015,7274.4000000000015
27,XAGUSD.rp,2018-07-13,15.795,15.795
